item_code,model_number,category,manufacturer_name,item_status,purchase_price,item_image,remarks,created_at,updated_at,store_id
100240001,ThinkPad X1 Carbon 6gn,0,Lenovo,0,25000,,未入力,2022-1-19,2022-1-19,100
101240001,ThinkPad X1 Carbon 6gn,0,Lenovo,0,25000,,,2022-1-19,2022-1-19,101
102240001,ThinkPad X1 Carbon 6gn,0,Lenovo,0,25000,,,2022-1-19,2022-1-19,102
103240001,ThinkPad X270,0,Lenovo,0,12000,,,2022-1-19,2022-1-19,103
104240001,ThinkPad X270,0,Lenovo,0,12000,,,2022-1-19,2022-1-19,104
105240001,ThinkPad X270,0,Lenovo,0,12000,,,2022-1-19,2022-1-19,105
106240001,ThinkPad X270,0,Lenovo,0,12000,,,2022-1-19,2022-1-19,106
107240001,ThinkPad X270,0,Lenovo,0,12000,,,2022-1-19,2022-1-19,107
108240001,ThinkPad X270,0,Lenovo,0,12000,,,2022-1-19,2022-1-19,108
109240001,ThinkPad X270,0,Lenovo,0,12000,,,2022-1-19,2022-1-19,109
110240001,ThinkPad X270,0,Lenovo,0,12000,,,2022-1-19,2022-1-19,110
111240001,ThinkPad X270,0,Lenovo,0,12000,,,2022-1-19,2022-1-19,111
112240001,ThinkPad X270,0,Lenovo,0,12000,,,2022-1-19,2022-1-19,112
100240002,ThinkPad X61,0,IBM,0,0,,,2022-1-19,2022-1-19,100
101240002,Let'sNote SZ6,0,Panasonic,0,17836,,,2022-1-19,2022-1-19,101
102240002,Let'sNote SZ6,0,Panasonic,0,17837,,,2022-1-19,2022-1-19,102
103240002,Let'sNote SZ6,0,Panasonic,0,15600,,,2022-1-19,2022-1-19,103
104240002,Let'sNote SZ6,0,Panasonic,0,13240,,,2022-1-19,2022-1-19,104
105240002,Let'sNote SZ5,0,Panasonic,0,14500,,,2022-1-19,2022-1-19,105
106240002,Let'sNote SZ5,0,Panasonic,0,14500,,,2022-1-19,2022-1-19,106
107240002,Let'sNote SZ5,0,Panasonic,0,14500,,,2022-1-19,2022-1-19,107
108240002,Let'sNote SZ5,0,Panasonic,0,9800,,,2022-1-19,2022-1-19,108
109240002,Let'sNote SZ5,0,Panasonic,0,9800,,,2022-1-19,2022-1-19,109
110240002,Let'sNote SZ5,0,Panasonic,0,9800,,,2022-1-19,2022-1-19,110
111240002,Let'sNote SZ5,0,Panasonic,0,9800,,,2022-1-19,2022-1-19,111
112240002,Let'sNote SZ5,0,Panasonic,0,9800,,,2022-1-19,2022-1-19,112
100240003,Let'sNote NX3,0,Panasonic,0,8534,,,2022-1-19,2022-1-19,100
101240003,Let'sNote NX3,0,Panasonic,0,8534,,,2022-1-19,2022-1-19,101
102240003,Let'sNote MX4,0,Panasonic,0,9200,,,2022-1-19,2022-1-19,102
103240003,LIFEBOOK U939,0,FUJITSU,0,56900,,,2022-1-19,2022-1-19,103
104240003,LIFEBOOK U938,0,FUJITSU,0,35800,,,2022-1-19,2022-1-19,104
105240003,LIFEBOOK U938,0,FUJITSU,0,35801,,,2022-1-19,2022-1-19,105
106240003,LIFEBOOK U938,0,FUJITSU,0,35802,,,2022-1-19,2022-1-19,106
107240003,LIFEBOOK U938,0,FUJITSU,0,35803,,,2022-1-19,2022-1-19,107
108240003,LIFEBOOK U938,0,FUJITSU,0,35804,,,2022-1-19,2022-1-19,108
109240003,VJS111D12N,0,VAIO,0,13600,,,2022-1-19,2022-1-19,109
110240003,VJS111D12N,0,VAIO,0,13601,,,2022-1-19,2022-1-19,110
111240003,VJS111D12N,0,VAIO,0,13602,,,2022-1-19,2022-1-19,111
112240003,VJS111D12N,0,VAIO,0,13603,,,2022-1-19,2022-1-19,112
100240004,VJS111D12N,0,VAIO,0,13604,,,2022-1-19,2022-1-19,100
101240004,VJS111D12N,0,VAIO,0,13605,,,2022-1-19,2022-1-19,101
102240004,ideapad 310S-11IAP,0,Lenovo,0,0,,,2022-1-19,2022-1-19,102
103240004,ProBook 470 G5,0,hp,0,49000,,,2022-1-19,2022-1-19,103
104240004,ProBook 470 G5,0,hp,0,49000,,,2022-1-19,2022-1-19,104
105240004,ProBook 470 G5,0,hp,0,49000,,,2022-1-19,2022-1-19,105
106240004,ProBook 470 G5,0,hp,0,49000,,,2022-1-19,2022-1-19,106
107240004,ProBook 470 G5,0,hp,0,49000,,,2022-1-19,2022-1-19,107
108240004,dynabook R63/Y,0,TOSHIBA,0,12300,,,2022-1-19,2022-1-19,108
109240004,dynabook R63/Y,0,TOSHIBA,0,14560,,,2022-1-19,2022-1-19,109
110240004,dynabook R63/Y,0,TOSHIBA,0,17800,,,2022-1-19,2022-1-19,110
111240004,Inspiron17 5759,0,DELL,0,24000,,,2022-1-19,2022-1-19,111
112240004,Inspiron17 5759,0,DELL,0,24000,,,2022-1-19,2022-1-19,112
100240005,Latitude 5580,0,DELL,0,16325,,,2022-1-19,2022-1-19,100
101240005,Latitude 5580,0,DELL,0,16326,,,2022-1-19,2022-1-19,101
102240005,Latitude 5580,0,DELL,0,16327,,,2022-1-19,2022-1-19,102
